"filename", "language", "Python", "CSS", "XML", "JavaScript", "HTML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\carso\GitHub\Website\static\admin\js\change_form.js", "JavaScript", 0, 0, 0, -14, 0, 0, 0, -2, -1, -17
"c:\Users\carso\GitHub\Website\static\admin\js\collapse.f84e7410290f.js", "JavaScript", 0, 0, 0, -37, 0, 0, 0, -6, -1, -44
"c:\Users\carso\GitHub\Website\static\admin\js\collapse.js", "JavaScript", 0, 0, 0, -37, 0, 0, 0, -6, -1, -44
"c:\Users\carso\GitHub\Website\static\admin\js\core.cf103cd04ebf.js", "JavaScript", 0, 0, 0, -136, 0, 0, 0, -19, -16, -171
"c:\Users\carso\GitHub\Website\static\admin\js\core.js", "JavaScript", 0, 0, 0, -136, 0, 0, 0, -19, -16, -171
"c:\Users\carso\GitHub\Website\static\admin\js\filters.0e360b7a9f80.js", "JavaScript", 0, 0, 0, -20, 0, 0, 0, -6, -5, -31
"c:\Users\carso\GitHub\Website\static\admin\js\filters.js", "JavaScript", 0, 0, 0, -20, 0, 0, 0, -6, -5, -31
"c:\Users\carso\GitHub\Website\static\admin\js\inlines.22d4d93c00b4.js", "JavaScript", 0, 0, 0, -272, 0, 0, 0, -61, -27, -360
"c:\Users\carso\GitHub\Website\static\admin\js\inlines.js", "JavaScript", 0, 0, 0, -272, 0, 0, 0, -61, -27, -360
"c:\Users\carso\GitHub\Website\static\admin\js\jquery.init.b7781a0897fc.js", "JavaScript", 0, 0, 0, -2, 0, 0, 0, -6, -1, -9
"c:\Users\carso\GitHub\Website\static\admin\js\jquery.init.js", "JavaScript", 0, 0, 0, -2, 0, 0, 0, -6, -1, -9
"c:\Users\carso\GitHub\Website\static\admin\js\nav_sidebar.3b9190d420b1.js", "JavaScript", 0, 0, 0, -73, 0, 0, 0, -1, -6, -80
"c:\Users\carso\GitHub\Website\static\admin\js\nav_sidebar.js", "JavaScript", 0, 0, 0, -73, 0, 0, 0, -1, -6, -80
"c:\Users\carso\GitHub\Website\static\admin\js\popup_response.c6cc78ea5551.js", "JavaScript", 0, 0, 0, -15, 0, 0, 0, -1, -1, -17
"c:\Users\carso\GitHub\Website\static\admin\js\popup_response.js", "JavaScript", 0, 0, 0, -15, 0, 0, 0, -1, -1, -17
"c:\Users\carso\GitHub\Website\static\admin\js\prepopulate.bd2361dfd64d.js", "JavaScript", 0, 0, 0, -29, 0, 0, 0, -10, -5, -44
"c:\Users\carso\GitHub\Website\static\admin\js\prepopulate.js", "JavaScript", 0, 0, 0, -29, 0, 0, 0, -10, -5, -44
"c:\Users\carso\GitHub\Website\static\admin\js\prepopulate_init.6cac7f3105b8.js", "JavaScript", 0, 0, 0, -15, 0, 0, 0, 0, -1, -16
"c:\Users\carso\GitHub\Website\static\admin\js\prepopulate_init.js", "JavaScript", 0, 0, 0, -15, 0, 0, 0, 0, -1, -16
"c:\Users\carso\GitHub\Website\static\admin\js\theme.ab270f56bb9c.js", "JavaScript", 0, 0, 0, -46, 0, 0, 0, -4, -7, -57
"c:\Users\carso\GitHub\Website\static\admin\js\theme.js", "JavaScript", 0, 0, 0, -46, 0, 0, 0, -4, -7, -57
"c:\Users\carso\GitHub\Website\static\admin\js\urlify.ae970a820212.js", "JavaScript", 0, 0, 0, -159, 0, 0, 0, -5, -6, -170
"c:\Users\carso\GitHub\Website\static\admin\js\urlify.js", "JavaScript", 0, 0, 0, -159, 0, 0, 0, -5, -6, -170
